Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
anaktuvuk_pass,ak,31,118.4,84.0,86.0
anchor_point,ak,155,119.5,30.0,85.0
anchorage,ak,308,115.5,49.0,38.0
anderson,ak,0,118.4,84.0,86.0
angoon,ak,0,116.6,84.0,84.0
aniak,ak,95,113.8,83.0,81.0
anvik,ak,18,118.4,84.0,85.0
arctic_village,ak,18,118.4,84.0,83.0
atka,ak,105,118.4,84.0,86.0
atmautluak,ak,95,113.8,83.0,86.0
atqasuk,ak,31,118.4,84.0,86.0
badger,ak,198,117.1,50.0,78.0
bear_creek,ak,155,119.5,30.0,86.0
beaver,ak,18,118.4,84.0,83.0
beluga,ak,?,?,?,?
bethel,ak,95,113.8,83.0,84.0
bettles,ak,18,118.4,84.0,86.0
big_delta,ak,59,118.4,84.0,86.0
big_lake,ak,113,115.8,29.0,82.0
birch_creek,ak,?,?,?,?
brevig_mission,ak,122,118.3,29.0,85.0
buckland,ak,77,118.4,31.0,85.0
buffalo_soapstone,ak,113,115.8,29.0,83.0
butte,ak,113,115.8,29.0,84.0
cantwell,ak,0,118.4,84.0,86.0
central,ak,18,118.4,84.0,83.0
chalkyitsik,ak,18,118.4,84.0,83.0
chefornak,ak,95,113.8,83.0,86.0
chena_ridge,ak,198,117.1,50.0,71.0
chickaloon,ak,113,115.8,29.0,86.0
chignik,ak,0,118.4,84.0,86.0
chignik_lagoon,ak,0,118.4,84.0,86.0
chignik_lake,ak,0,118.4,84.0,86.0
chuathbaluk,ak,95,113.8,83.0,81.0
circle,ak,18,118.4,84.0,83.0
clam_gulch,ak,155,119.5,30.0,85.0
clark's_point,ak,260,114.9,29.0,86.0
coffman_cove,ak,142,116.6,83.0,85.0
cohoe,ak,155,119.5,30.0,85.0
cold_bay,ak,0,118.4,83.0,86.0
college,ak,198,117.1,50.0,54.0
cooper_landing,ak,155,119.5,30.0,85.0
covenant_life,ak,197,116.6,84.0,86.0
craig,ak,142,116.6,83.0,83.0
crooked_creek,ak,95,113.8,83.0,81.0
crown_point,ak,155,119.5,30.0,85.0
deering,ak,77,118.4,31.0,85.0
delta_junction,ak,59,118.4,84.0,86.0
deltana,ak,59,118.4,84.0,86.0
diamond_ridge,ak,155,119.5,30.0,83.0
dillingham,ak,260,114.9,29.0,83.0
diomede,ak,122,118.3,29.0,85.0
dot_lake_village,ak,59,118.4,84.0,86.0
dry_creek,ak,59,118.4,84.0,86.0
eagle,ak,59,118.4,84.0,86.0
eagle_village,ak,59,118.4,84.0,86.0
edna_bay,ak,142,116.6,83.0,85.0
eek,ak,95,113.8,83.0,86.0
egegik,ak,0,118.4,84.0,86.0
eielson_afb,ak,198,117.1,50.0,84.0
ekwok,ak,260,114.9,29.0,86.0
elfin_cove,ak,0,116.6,84.0,84.0
elim,ak,122,118.3,29.0,85.0
ester,ak,198,117.1,50.0,81.0
evansville,ak,18,118.4,84.0,86.0
excursion_inlet,ak,197,116.6,84.0,86.0
fairbanks,ak,198,117.1,50.0,43.0
false_pass,ak,0,118.4,83.0,86.0
farm_loop,ak,113,115.8,29.0,83.0
farmers_loop,ak,198,117.1,50.0,73.0
ferry,ak,0,118.4,84.0,86.0
fishhook,ak,113,115.8,29.0,82.0
fort_greely,ak,59,118.4,84.0,86.0
