Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
bon_air,talladega,al,80704,596,669,228
boykin,wilcox,al,,,,
brantley,crenshaw,al,13025,102,150,38
brantleyville,shelby,al,230115,27,25,2
brent,bibb,al,2995,88,161,102
brewton,escambia,al,5251,202,290,153
bridgeport,jackson,al,2256,56,101,33
brighton,jefferson,al,665409,3005,5309,869
brilliant,marion,al,29156,10,34,14
bristow_cove,etowah,al,103088,59,85,13
brook_highland,shelby,al,230115,27,25,2
brookside,jefferson,al,1218,8,24,16
brookwood,tuscaloosa,al,,,,
broomtown,cherokee,al,25302,365,533,211
brundidge,pike,al,2053,73,102,2
butler,choctaw,al,1846,46,65,74
calera,shelby,al,230115,27,25,2
calvert,washington,al,15122,84,103,80
camden,wilcox,al,1808,24,23,15
camp_hill,tallapoosa,al,977,13,19,8
carbon_hill,walker,al,1714,32,60,73
cardiff,jefferson,al,665409,3005,5309,869
carlisle-rockledge,etowah,al,103088,59,85,13
carlton,clarke,al,22515,118,170,84
carolina,covington,al,37602,2,1,7
carrollton,pickens,al,18697,87,111,104
castleberry,conecuh,al,469,6,6,0
cedar_bluff,cherokee,al,1879,43,82,193
center_point,jefferson,al,665409,3005,5309,869
centre,cherokee,al,3546,91,281,206
centreville,bibb,al,2803,67,86,71
chatom,washington,al,1034,12,14,2
chelsea,shelby,al,230115,27,25,2
cherokee,colbert,al,958,23,41,32
chickasaw,mobile,al,6333,179,195,89
childersburg,talladega,al,4631,57,120,47
choccolocco,calhoun,al,115788,558,535,421
chunchula,mobile,al,411411,1536,1895,897
citronelle,mobile,al,3916,77,82,21
clanton,chilton,al,8799,259,447,300
clay,jefferson,al,473,12,17,6
clayhatchee,dale,al,473,12,17,6
clayton,barbour,al,2258,21,28,4
cleveland,blount,al,1242,16,24,8
clio,barbour,al,24706,50,55,19
coaling,tuscaloosa,al,,,,
coats_bend,etowah,al,103088,59,85,13
coffee_springs,geneva,al,26783,68,122,21
coffeeville,clarke,al,260,3,1,4
coker,tuscaloosa,al,,,,
collinsville,dekalb,al,2029,25,36,26
colony,cullman,al,90665,1019,1190,1184
columbia,houston,al,691,2,3,3
columbiana,shelby,al,4347,77,191,68
concord,jefferson,al,665409,3005,5309,869
coosada,elmore,al,1276,20,23,60
cordova,walker,al,1663,77,115,105
cottondale,tuscaloosa,al,,,,
cottonwood,houston,al,1046,19,30,14
county_line,blount,al,59512,620,782,153
courtland,lawrence,al,486,3,2,3
cowarts,houston,al,108079,570,919,431
creola,mobile,al,1936,41,64,45
crossville,dekalb,al,1810,9,4,19
cuba,sumter,al,11853,14,3,0
cullman,cullman,al,19065,267,976,196
cullomburg,choctaw,al,12439,64,117,37
cusseta,chambers,al,34088,128,164,89
dadeville,tallapoosa,al,2962,72,109,192
daleville,dale,al,4876,108,188,46
daphne,baldwin,al,29871,176,376,230
dauphin_island,mobile,al,1843,23,38,64
daviston,tallapoosa,al,40977,84,164,143
dayton,marengo,al,18745,40,80,6
deatsville,elmore,al,89563,161,416,270
decatur,morgan,al,57831,1457,2262,230
deer_park,washington,al,15122,84,103,80
delta,clay,al,14198,77,84,23
demopolis,marengo,al,6885,276,390,124
detroit,lamar,al,,,,
dodge_city,cullman,al,90665,1019,1190,1184
dora,walker,al,2281,37,112,258
dothan,houston,al,71196,2780,3683,2816
double_springs,winston,al,1083,19,35,12
douglas,marshall,al,765,35,35,21
