,City,State,StateCode,Fips,County,Latitude,Longitude,Population,Density,Zip,_merge
6384,brookside,illinois,il,,,,,,,,left_only
6385,brookville,illinois,il,,,,,,,,left_only
6387,broughton_township,illinois,il,,,,,,,,left_only
6388,brouilletts_creek,illinois,il,,,,,,,,left_only
6389,brown,illinois,il,,,,,,,,left_only
6391,browning_township_(franklin_cnty),illinois,il,,,,,,,,left_only
6392,browning_township_(schuyler_cnty),illinois,il,,,,,,,,left_only
6395,bruce,illinois,il,,,,,,,,left_only
6396,brushy,illinois,il,,,,,,,,left_only
6397,brushy_mound,illinois,il,,,,,,,,left_only
6400,buck,illinois,il,,,,,,,,left_only
6401,buckeye,illinois,il,,,,,,,,left_only
6402,buckhart,illinois,il,,,,,,,,left_only
6403,buckheart,illinois,il,,,,,,,,left_only
6404,buckhorn,illinois,il,,,,,,,,left_only
6409,buena_vista,illinois,il,,,,,,,,left_only
6412,buffalo_hart,illinois,il,,,,,,,,left_only
6414,buffalo_township,illinois,il,,,,,,,,left_only
6419,bunker_hill_township,illinois,il,,,,,,,,left_only
6421,bureau,illinois,il,,,,,,,,left_only
6422,bureau_junction,illinois,il,,,,,,,,left_only
6423,burgess,illinois,il,,,,,,,,left_only
6425,burlington_township,illinois,il,,,,,,,,left_only
6427,burns,illinois,il,,,,,,,,left_only
6429,burnt_prairie_township,illinois,il,,,,,,,,left_only
6431,burritt,illinois,il,,,,,,,,left_only
6432,burton_township_(adams_cnty),illinois,il,,,,,,,,left_only
6433,burton_township_(mchenry_cnty),illinois,il,,,,,,,,left_only
6436,bushnell_township,illinois,il,,,,,,,,left_only
6438,butler_grove,illinois,il,,,,,,,,left_only
6439,butler_township,illinois,il,,,,,,,,left_only
6440,button,illinois,il,,,,,,,,left_only
6442,byron_township,illinois,il,,,,,,,,left_only
6445,cahokia_township,illinois,il,,,,,,,,left_only
6448,caledonia_township,illinois,il,,,,,,,,left_only
6450,calumet,illinois,il,,,,,,,,left_only
6454,camargo_township,illinois,il,,,,,,,,left_only
6457,cambridge_township,illinois,il,,,,,,,,left_only
6459,camden_township,illinois,il,,,,,,,,left_only
6461,camp_point_township,illinois,il,,,,,,,,left_only
6463,campton,illinois,il,,,,,,,,left_only
6467,canoe_creek,illinois,il,,,,,,,,left_only
6468,canteen,illinois,il,,,,,,,,left_only
6470,canton_township,illinois,il,,,,,,,,left_only
6472,capital,illinois,il,,,,,,,,left_only
6477,carbondale_township,illinois,il,,,,,,,,left_only
6479,carlinville_township,illinois,il,,,,,,,,left_only
6482,carlyle_township,illinois,il,,,,,,,,left_only
