Place,StateCode,County
koyukuk,ak,yukon-koyukuk_census_area
kupreanof,ak,petersburg_census_area
kwethluk,ak,bethel_census_area
kwigillingok,ak,bethel_census_area
lake_louise,ak,matanuska-susitna_borough
lake_minchumina,ak,yukon-koyukuk_census_area
lakes,ak,matanuska-susitna_borough
larsen_bay,ak,kodiak_island_borough
lazy_mountain,ak,matanuska-susitna_borough
levelock,ak,lake_and_peninsula_borough
lime_village,ak,bethel_census_area
livengood,ak,yukon-koyukuk_census_area
lowell_point,ak,kenai_peninsula_borough
lower_kalskag,ak,bethel_census_area
lutak,ak,haines_borough
manley_hot_springs,ak,yukon-koyukuk_census_area
manokotak,ak,dillingham_census_area
marshall,ak,wade_hampton_census_area
mccarthy,ak,valdez-cordova_census_area
mcgrath,ak,yukon-koyukuk_census_area
mckinley_park,ak,denali_borough
meadow_lakes,ak,matanuska-susitna_borough
mekoryuk,ak,bethel_census_area
mendeltna,ak,valdez-cordova_census_area
mentasta_lake,ak,valdez-cordova_census_area
metlakatla,ak,prince_of_wales-hyder_census_area
minto,ak,yukon-koyukuk_census_area
moose_creek,ak,fairbanks_north_star_borough
moose_pass,ak,kenai_peninsula_borough
mosquito_lake,ak,haines_borough
mountain_village,ak,wade_hampton_census_area
mud_bay,ak,haines_borough
naknek,ak,bristol_bay_borough
nanwalek,ak,kenai_peninsula_borough
napakiak,ak,bethel_census_area
napaskiak,ak,bethel_census_area
naukati_bay,ak,prince_of_wales-hyder_census_area
nelchina,ak,valdez-cordova_census_area
nelson_lagoon,ak,aleutians_east_borough
nenana,ak,yukon-koyukuk_census_area
new_stuyahok,ak,dillingham_census_area
newhalen,ak,lake_and_peninsula_borough
newtok,ak,bethel_census_area
nightmute,ak,bethel_census_area
nikiski,ak,kenai_peninsula_borough
nikolaevsk,ak,kenai_peninsula_borough
nikolai,ak,yukon-koyukuk_census_area
nikolski,ak,aleutians_west_census_area
ninilchik,ak,kenai_peninsula_borough
noatak,ak,northwest_arctic_borough
nome,ak,nome_census_area
nondalton,ak,lake_and_peninsula_borough
noorvik,ak,northwest_arctic_borough
north_pole,ak,fairbanks_north_star_borough
northway,ak,southeast_fairbanks_census_area
northway_junction,ak,southeast_fairbanks_census_area
northway_village,ak,southeast_fairbanks_census_area
nuiqsut,ak,north_slope_borough
nulato,ak,yukon-koyukuk_census_area
nunam_iqua,ak,wade_hampton_census_area
