Place,City,County,StateCode
st._stephens,st._stephens,washington,al
standing_rock,standing_rock,chambers,al
steele,steele,st._clair,al
sterrett,sterrett,shelby,al
stevenson,stevenson,jackson,al
stewartville,stewartville,coosa,al
sulligent,sulligent,lamar,al
sumiton,sumiton,walker,al
summerdale,summerdale,baldwin,al
susan_moore,susan_moore,blount,al
sweet_water,sweet_water,marengo,al
sylacauga,sylacauga,talladega,al
sylvan_springs,sylvan_springs,jefferson,al
sylvania,sylvania,dekalb,al
talladega,talladega,talladega,al
talladega_springs,talladega_springs,talladega,al
tallassee,tallassee,elmore,al
tarrant,tarrant,jefferson,al
taylor,taylor,houston,al
theodore,theodore,mobile,al
thomaston,thomaston,marengo,al
thomasville,thomasville,clarke,al
thorsby,thorsby,chilton,al
tibbie,tibbie,washington,al
tidmore_bend,tidmore_bend,etowah,al
tillmans_corner,tillmans_corner,mobile,al
town_creek,town_creek,lawrence,al
toxey,toxey,choctaw,al
trafford,trafford,jefferson,al
triana,triana,madison,al
trinity,trinity,morgan,al
troy,troy,pike,al
trussville,trussville,jefferson,al
tuscaloosa,tuscaloosa,tuscaloosa,al
tuscumbia,tuscumbia,colbert,al
tuskegee,tuskegee,macon,al
twin,twin,marion,al
underwood-petersville,underwood-petersville,lauderdale,al
union,union,greene,al
union_grove,union_grove,marshall,al
union_springs,union_springs,bullock,al
uniontown,uniontown,perry,al
uriah,uriah,monroe,al
valley,valley,chambers,al
valley_grande,valley_grande,dallas,al
valley_head,valley_head,dekalb,al
vance,vance,tuscaloosa,al
vandiver,vandiver,shelby,al
vernon,vernon,lamar,al
vestavia_hills,vestavia_hills,jefferson,al
vina,vina,franklin,al
vincent,vincent,shelby,al
vinegar_bend,vinegar_bend,washington,al
vredenburgh,vredenburgh,monroe,al
wadley,wadley,randolph,al
waldo,waldo,talladega,al
walnut_grove,walnut_grove,etowah,al
warrior,warrior,jefferson,al
waterloo,waterloo,lauderdale,al
waverly,waverly,chambers,al
weaver,weaver,calhoun,al
webb,webb,houston,al
wedowee,wedowee,randolph,al
weogufka,weogufka,coosa,al
west_blocton,west_blocton,bibb,al
west_end-cobb_town,west_end-cobb_town,calhoun,al
west_jefferson,west_jefferson,jefferson,al
west_point,west_point,cullman,al
westover,westover,shelby,al
wetumpka,wetumpka,elmore,al
whatley,whatley,clarke,al
white_hall,white_hall,lowndes,al
white_plains,white_plains,calhoun,al
whitesboro,whitesboro,etowah,al
wilsonville,wilsonville,shelby,al
wilton,wilton,shelby,al
winfield,winfield,marion,al
woodland,woodland,randolph,al
woodstock,woodstock,bibb,al
woodville,woodville,jackson,al
yellow_bluff,yellow_bluff,wilcox,al
york,york,sumter,al
adak,adak,aleutians_west_census_area,ak
akhiok,akhiok,kodiak_island_borough,ak
akiachak,akiachak,bethel_census_area,ak
akiak,akiak,bethel_census_area,ak
akutan,akutan,aleutians_east_borough,ak
alakanuk,alakanuk,wade_hampton_census_area,ak
alatna,alatna,yukon-koyukuk_census_area,ak
alcan_border,alcan_border,southeast_fairbanks_census_area,ak
aleknagik,aleknagik,dillingham_census_area,ak
aleneva,aleneva,kodiak_island_borough,ak
allakaket,allakaket,yukon-koyukuk_census_area,ak
ambler,ambler,northwest_arctic_borough,ak
anaktuvuk_pass,anaktuvuk_pass,north_slope_borough,ak
anchor_point,anchor_point,kenai_peninsula_borough,ak
anchorage,anchorage,anchorage_municipality,ak
anderson,anderson,denali_borough,ak
angoon,angoon,hoonah-angoon_census_area,ak
aniak,aniak,bethel_census_area,ak
anvik,anvik,yukon-koyukuk_census_area,ak
arctic_village,arctic_village,yukon-koyukuk_census_area,ak
atka,atka,aleutians_west_census_area,ak
atmautluak,atmautluak,bethel_census_area,ak
atqasuk,atqasuk,north_slope_borough,ak
attu_station,attu_station,aleutians_west_census_area,ak
badger,badger,fairbanks_north_star_borough,ak
barrow,barrow,north_slope_borough,ak
bear_creek,bear_creek,kenai_peninsula_borough,ak
beaver,beaver,yukon-koyukuk_census_area,ak
beluga,beluga,kenai_peninsula_borough,ak
bethel,bethel,bethel_census_area,ak
bettles,bettles,yukon-koyukuk_census_area,ak
big_delta,big_delta,southeast_fairbanks_census_area,ak
big_lake,big_lake,matanuska-susitna_borough,ak
birch_creek,birch_creek,yukon-koyukuk_census_area,ak
brevig_mission,brevig_mission,nome_census_area,ak
buckland,buckland,northwest_arctic_borough,ak
buffalo_soapstone,buffalo_soapstone,matanuska-susitna_borough,ak
butte,butte,matanuska-susitna_borough,ak
cantwell,cantwell,denali_borough,ak
central,central,yukon-koyukuk_census_area,ak
chalkyitsik,chalkyitsik,yukon-koyukuk_census_area,ak
chase,chase,matanuska-susitna_borough,ak
chefornak,chefornak,bethel_census_area,ak
chena_ridge,chena_ridge,fairbanks_north_star_borough,ak
chenega,chenega,valdez-cordova_census_area,ak
chevak,chevak,wade_hampton_census_area,ak
chickaloon,chickaloon,matanuska-susitna_borough,ak
chignik,chignik,lake_and_peninsula_borough,ak
chignik_lagoon,chignik_lagoon,lake_and_peninsula_borough,ak
chignik_lake,chignik_lake,lake_and_peninsula_borough,ak
chiniak,chiniak,kodiak_island_borough,ak
chistochina,chistochina,valdez-cordova_census_area,ak
chitina,chitina,valdez-cordova_census_area,ak
chuathbaluk,chuathbaluk,bethel_census_area,ak
circle,circle,yukon-koyukuk_census_area,ak
clam_gulch,clam_gulch,kenai_peninsula_borough,ak
clark's_point,clark's_point,dillingham_census_area,ak
coffman_cove,coffman_cove,prince_of_wales-hyder_census_area,ak
cohoe,cohoe,kenai_peninsula_borough,ak
cold_bay,cold_bay,aleutians_east_borough,ak
college,college,fairbanks_north_star_borough,ak
cooper_landing,cooper_landing,kenai_peninsula_borough,ak
copper_center,copper_center,valdez-cordova_census_area,ak
cordova,cordova,valdez-cordova_census_area,ak
covenant_life,covenant_life,haines_borough,ak
craig,craig,prince_of_wales-hyder_census_area,ak
crooked_creek,crooked_creek,bethel_census_area,ak
crown_point,crown_point,kenai_peninsula_borough,ak
deering,deering,northwest_arctic_borough,ak
delta_junction,delta_junction,southeast_fairbanks_census_area,ak
deltana,deltana,southeast_fairbanks_census_area,ak
diamond_ridge,diamond_ridge,kenai_peninsula_borough,ak
dillingham,dillingham,dillingham_census_area,ak
diomede,diomede,nome_census_area,ak
dot_lake_village,dot_lake_village,southeast_fairbanks_census_area,ak
dry_creek,dry_creek,southeast_fairbanks_census_area,ak
eagle,eagle,southeast_fairbanks_census_area,ak
eagle_village,eagle_village,southeast_fairbanks_census_area,ak
edna_bay,edna_bay,prince_of_wales-hyder_census_area,ak
eek,eek,bethel_census_area,ak
egegik,egegik,lake_and_peninsula_borough,ak
eielson_afb,eielson_afb,fairbanks_north_star_borough,ak
ekwok,ekwok,dillingham_census_area,ak
elfin_cove,elfin_cove,hoonah-angoon_census_area,ak
elim,elim,nome_census_area,ak
emmonak,emmonak,wade_hampton_census_area,ak
ester,ester,fairbanks_north_star_borough,ak
evansville,evansville,yukon-koyukuk_census_area,ak
excursion_inlet,excursion_inlet,haines_borough,ak
fairbanks,fairbanks,fairbanks_north_star_borough,ak
false_pass,false_pass,aleutians_east_borough,ak
farm_loop,farm_loop,matanuska-susitna_borough,ak
farmers_loop,farmers_loop,fairbanks_north_star_borough,ak
ferry,ferry,denali_borough,ak
fishhook,fishhook,matanuska-susitna_borough,ak
fort_greely,fort_greely,southeast_fairbanks_census_area,ak
fort_yukon,fort_yukon,yukon-koyukuk_census_area,ak
four_mile_road,four_mile_road,yukon-koyukuk_census_area,ak
fox,fox,fairbanks_north_star_borough,ak
fox_river,fox_river,kenai_peninsula_borough,ak
fritz_creek,fritz_creek,kenai_peninsula_borough,ak
funny_river,funny_river,kenai_peninsula_borough,ak
gakona,gakona,valdez-cordova_census_area,ak
galena,galena,yukon-koyukuk_census_area,ak
